,lines
0, ttto bass be the glory oh my dududu huh bubu ohohohoh yeah yeah bow ohohohoh yeah blat blat ohohohoh yeah yeah oh my dududu blat ohohohoh yeah yeah uh yeah yeah uh sauce on ya nigga got the sauce on me i got sauce boss like a young nigga was ross on me like i am fucking ross pull up on your shawty i put sauce on it like i fucking spilled sauce on ya nigga got the sauce on me like i fucking killed huh do not be alarmed this is just for fun you know what the fuck i am saying ayy ayy ayy it is a carnival ride yeah yeah yeah oh my oh my oh my oh my yuh all them fancy cunts said they wanna bring me home yeah shawty why you stalling are you gonna give me dome yeah uh i am not disrespectful i just really wanna cum yeah yeah i do not wanna talk yeah— oh my oh my question one what she ask me yeah pull up uh with two white bitches marykate ashley oh my yuh yeah yeah yeah yeah they gong smash me yeah if they talk too much i am gonna fuck around and pass em sauce on ya nigga got the sauce on me i got sauce boss like a young nigga was ross on me like i am fucking ross pull up on your shawty i put sauce on it like i fucking spilled sauce on ya nigga got the sauce on me like i fucking killed huh woah huh ohohohoh yeah oh my ohohohoh yeah ohohohoh yeah ohohohoh yeah yeah bow ohohohoh yeah blat blaow ohohohoh yeah oh my blaow ohohohoh yeah yeah uh sauce on ya nigga got the sauce on me uh boss like a young nigga was ross on me uh pull up on your shawty i put sauce on it yuh sauce on ya nigga got the sauce on me yeah huh
1, ayy i am like bitch who is your mans ayy cannot keep my dick in my pants ayy my bitch do not love me no mo ayy she kick me out i am like vro damn son where would you find this yah ayy yah ayy yah ayy haha yah yah yah ayy ayy ayy ayy i am like bitch who is your mans ayy cannot keep my dick in my pants ayy my bitch do not love me no mo ayy she kick me out i am like vro ayy that bitch do not wanna be friends ayy i gave her dick she amen ayy she put her tongue on my dick ayy look at my wrist about ten ayy just got a pound of the boof ayy brought that shit straight to the booth ayy tommy my hilfiger voots ayy she said wang fuck bitch i do ayy you put a gun on my mans ayy i put a hole in your parents ayy i just got lean on my ksubis ayy i got a uzi no uzi fuck on me look at me ayy fuck on me yah look at me ayy look at me look at me yah fuck on me yah ayy look at me yah fuck on me look at me fuck on me yah look at me fuck on me yah ayy tell these fuck niggas voot me up pipe up ayy shouts out bans and them ayy i took a white bitch to starbucks that little bitch got her throat fucked i like to rock out like i am misfit my emo bitch like her wrist slit curly hair bitch like i am corbin got like three bitches i am mormon skeet on your main bitchs forehead do not want your pussy just want head look at me fuck on me look at me fuck on me look at me fuck on me look at me yah ayy look at me fuck on me look at me fuck on me look at me fuck on me look at me yah
2, i think i i think i finally found a way to forgive myself from mistakes i made in my past i think that is the first step right you agree i have dug two graves for us my dear cannot pretend that i was perfect leaving you in fear oh man what a world the things i hear if i could act on my revenge then oh would i some kill some steal some break your heart and you thought that i would let it go and let you walk well broken hearts break bones so break up fast and i do not wanna let it go so in my grave i will rot i have dug two graves for us my dear cannot pretend that i was perfect leaving you in fear oh man what a world the things i hear if i could act on my revenge then oh would i some kill some steal some break your heart and you thought that i would let it go and let you walk broken hearts break bones so break up fast and i do not wanna let it go so in my grave i will rot in my grave i will rot in my grave i will rot in my grave i will rototot in my grave i will rot in my grave i will rototot in my grave i will rot in my grave i will rot i will rot i will rot i will rot is my pain your freedom is all of my pain your freedom enjoy
3, ooh ahh ahh ahh do not go do not go to sleep do not go stay up and tired of feeling like i am trapped in my damn mind tired of feeling like i am wrapped in a damn lie tired of feeling like my life is a damn game nigga really wanna die in the night time only time i feel pain when i am feeling love that is why it is tatted on my face that i am damn numb only tell you about my mind when i am all alone that is why i am never really lone in the night time change hoes like clothes i cannot get attached cause these hoes fire starters like lit matches i have been feeling really lost ducking all attachments i do not really go outside cause i hate traffic i do not wanna go outside get caught in traffic traffic ooh ahh ahh ahh do not go do not go to sleep do not go stay up and tired of feeling like i am trapped in my damn mind tired of feeling like i am wrapped in a damn lie tired of feeling like my life is a damn game nigga really wanna die in the night time tired of feeling like i am trapped in my damn mind tired of feeling like i am wrapped in a damn lie tired of feeling like my life is a damn game nigga really wanna die in the night time tired of feeling like i am trapped in my damn mind tired of feeling like i am wrapped in a damn lie tired of feeling like my life is a damn game nigga really wanna die in the night time nigga really wanna die in the night time nigga really wanna die in the night time nigga really wanna die in the night time uh nigga really wanna die in the night time uh nigga really wanna die in the night time do not go to sleep do not go stay up with me do not go do not go to sleep do not go stay up and do not go to sleep ooooahahh do not go do not go to sleep do not go stay up and do not
4, mmm baby i do not understand this you are changing i cannot stand it my heart cannot take this damage and the way i feel cannot stand it mmm baby i do not understand this you are changing i cannot stand it my heart cannot take this damage and the way i feel cannot stand it mmm baby i do not understand it girl you are making it hard for me girl you are making it hard for me girl you are making it hard for me mmm ohh girl you are making it hard for me girl you are making it hard for me girl you are making it hard for me mmm baby i do not understand this you are changing i cannot stand it my heart cannot take this damage and the way i feel cannot stand it mmm baby i do not understand this you are changing i cannot stand it my heart cannot take this damage and the way i feel cannot stand it mmm baby i do not understand this you are changing i cannot stand it my heart cannot take this damage and the way i feel cannot stand it mmm baby i do not understand it
5, yeah spotlight uh moonlight uh nigga why you tripping get your mood right uh shawty look good in the moonlight all these pussy niggas so bad mind spotlight moonlight nigga why you tripping get your mood right shawty look good in the moonlight all these pussy niggas so bad mind spotlight uh moonlight nigga why you tripping get your mood right uh shawty look good in the moonlight all these pussy niggas so bad mind spotlight moonlight nigga why you tripping get your mood right shawty look good in the moonlight all these pussy niggas so bad mind feel like i am destined i do not need no smith & wesson no boy who you testing fuck a scantron heres your lesson oh knife in intestine taking shots at all your brethren no feel like i am damaged girl i know you fucking planned this all alone call my phone make me feel right girl you know when you call make me feel right all alone call my phone make me feel right girl you know when you call make me feel right spotlight uh moonlight uh nigga why you tripping get your mood right uh shawty look good in the moonlight all these pussy niggas so bad mind spotlight moonlight nigga why you tripping get your mood right shawty look good in the moonlight all these pussy niggas so bad mind spotlight uh moonlight nigga why you tripping get your mood right uh shawty look good in the moonlight all these pussy niggas so bad mind spotlight moonlight nigga why you tripping get your mood right shawty look good in the moonlight all these pussy niggas so bad mind
6, it will all be over soon and i am always where the sun do not shine the tears do not show will not hurt me now cause hearts been broke i hate myself but it will not show i constantly lose all my remorse and it is ten for the wolf and three for the shepherd and it is one for the sheep who led by your leopard often gave his perception as a handle of weapon took a bite of your apple give me all you can offer now i am trapped in a changing maze setting my soul ablaze could not control the pace where is this going hey heartless is recklessness it is word of a pacifist to word of a masochist i am off of the map my lord i spoke to a baphomet he said he would save me if i gave him one thing he needed what is this thing i pleaded boy it is the key to even yeah and as i spoke my fangs were shown taken aback he smiles and tells me what you crave will soon be yours but what i crave is already mine anima vestra anima anima vestra anima
7, yeah rest in peace to all the kids that lost their lives in the parkland shooting this song is dedicated to you okay she keep callin she keep calling every single night day and night on my mind please do not kill the vibe all alone swear to god i be in my mind swear i wanna die yeah when you cross my— said i wanna die yuh no i am not alright yuh i might start a riot yuh i am so fucking tired yuh so what is up what you say feeling good i am feeling great tired of the fucking hate stacking cheese all on my plate so outside my misery i think i will find a way of envisioning a better life for the rest of us the rest of us there is hope for the rest of us the rest of us okay she keep calling she keep calling every single night day and night on my mind please do not kill the vibe oh no i swear to god i be in my mind swear i wanna die yeah when you cross my— said i wanna die yuh no i am not alright yuh i might start a riot yuh i am so fucking tired yuh so what is up what you say feeling good i am feeling great tired of the fucking hate stacking cheese all on my plate
8, why am i so in love why am i so in love why am i so in love i do not know why steady trying to maintain same things that will blow a bitch mind frame my brain cannot fathom what the hate say he say she say how about me say get the visa headed to the islands asap what is that on my shawty wrist that is a ap i am the type to save a bitch cape feeling like et flying out of the addy fucking on shawty she baddie casual convo then at it i mean i am better than better maybe i am lying i am sadder than most of yall with the money and the freedom nigga what is money really worth if it ai not love i ama find a perfect balance it is gong take time i heard shawty still in love through the grapevine heard shawty still in love through the grapevine heard shawty in love through the grapevine mix a little bit of weed with a little bit of cash with a little bit of this with a little bit of that we gong be al we gong be al right we gong be al right we gong be al mix a little bit of weed with a little bit of cash with a little bit of this with a little bit of that we gong be al we gong be alright we gong be al right we gong be al mix a little bit of weed with a little bit of cash with a little bit of this with a little bit of that we gong be al we gong be al right we gong be alright we gong be al mix a little bit of weed with a little bit of cash with a little bit of this with a little bit of that we gong be al right we gong be al we gong be al right we gong be al why am i so in love i do not know why why am i so in love i do not know why she said i oh i am falling for you falling for you i oh i am falling for you falling for you i oh i am falling for you falling for you i oh i am falling for you falling for you why am i so in love why am i so in love why am i so in love i do not know why why am i so in love why am i so in love why am i so in love i do not know why
9, yeah shawty heard you bad word so profane something like a bad word want your love call me when you can girl going up going down in and out turn around shawty heard you bad word so profane something like a bad word want your love call me when you can girl going up going down in and out turn around love you the way you moving now i might be insane yeah but i love the pain yeah feel it in the brain yeahahh realize she just want me hit it right cause i get em going right shawty heard you bad word so profane something like a bad word want your love call me when you can girl going up going down in and out turn around shawty heard you bad word so profane something like a bad word want your love call me when you can girl going up going down in and out turn around love you the way you moving now
